13,12,15,0,0,9,6,13,13,0,10,8,19,13,2,1,10,13,19,3,17,0,16,17,14,14,14,4,6,18,2,12,19,2,5,10,17,3,11,16,13,14,4,18,17,8,5,7,14,12
2,10,8,2,6,1,14,14,3,17,1,10,13,1,12,17,13,12,4,13,4,8,5,17,5,14,18,17,17,8,19,8,19,19,4,13,7,5,13,13,16,17,5,18,14,14,7,14,15,13
16,18,7,8,16,6,3,18,13,16,18,3,2,12,8,13,11,14,7,15,6,0,5,12,10,8,13,0,0,7,8,10,7,18,19,10,14,19,9,3,17,17,19,9,12,4,1,9,12,15
8,13,5,7,1,2,7,2,9,19,4,17,1,17,13,8,2,16,13,8,17,12,7,4,3,17,2,6,11,5,4,2,8,17,12,2,15,0,5,1,7,18,0,18,9,16,17,10,18,8
1,8,19,7,14,14,18,14,6,16,4,15,10,13,11,2,18,10,1,16,5,14,18,12,12,1,4,10,14,13,0,17,0,18,2,18,16,13,18,10,16,19,0,12,8,16,13,4,5,5
13,2,13,8,4,1,16,3,14,16,4,3,13,12,14,16,10,11,4,16,6,2,14,2,0,11,5,5,1,5,7,5,7,6,15,2,18,14,2,3,13,10,1,16,8,5,8,15,7,13
17,9,14,7,8,14,6,8,9,5,12,4,19,4,7,13,1,4,2,9,6,18,18,13,12,17,8,2,17,19,9,8,10,11,2,13,1,9,5,3,7,11,9,9,11,18,18,5,5,8
14,3,1,0,17,4,17,17,8,3,9,3,3,13,15,8,16,16,9,10,1,19,13,11,6,18,11,7,6,15,14,11,18,9,12,3,5,4,13,19,10,19,9,14,8,2,13,12,13,16
7,0,3,2,10,8,2,0,17,5,14,16,17,4,6,17,5,6,6,1,6,16,3,7,7,14,16,12,14,9,14,7,14,7,0,1,12,8,10,10,12,2,15,2,10,6,13,6,7,7
15,13,3,14,11,16,19,13,15,6,15,14,0,8,0,12,14,2,18,19,16,15,14,3,2,16,9,12,11,14,9,15,17,2,4,6,19,6,5,0,16,3,1,15,19,9,0,9,5,4
2,15,6,17,9,17,11,15,18,8,5,1,16,5,5,7,18,14,18,13,3,14,14,16,5,14,11,6,6,18,9,0,10,10,19,0,8,0,16,3,15,13,18,3,3,10,13,19,18,5
5,2,12,8,14,4,17,6,5,5,11,9,17,17,12,4,12,2,13,11,7,3,16,0,9,10,4,2,12,9,15,18,15,0,2,17,17,6,8,13,15,4,10,15,1,12,11,0,19,18
1,14,14,3,12,10,19,17,13,19,3,6,14,5,10,3,12,0,12,6,7,2,5,9,9,4,15,10,11,7,11,17,16,2,1,14,17,17,10,17,17,19,13,4,2,13,12,4,6,18
3,9,7,18,7,1,15,8,19,18,17,9,14,14,8,17,1,11,17,18,14,16,14,10,4,19,18,5,12,16,13,4,16,5,4,13,16,12,8,4,12,0,8,1,12,13,11,16,2,10
3,6,1,13,3,11,7,6,13,4,5,3,14,18,13,2,4,5,8,11,16,9,11,4,15,18,2,13,12,13,2,12,7,12,14,0,6,15,0,14,15,8,7,17,8,10,13,14,14,0
16,15,3,9,0,12,2,7,8,15,12,18,4,17,0,6,10,5,2,7,12,12,6,2,10,5,13,0,18,1,6,8,6,12,19,15,1,12,9,4,13,8,11,2,14,14,6,3,9,14
14,16,18,7,7,1,2,5,6,5,17,17,6,17,0,11,14,1,17,6,14,11,6,12,11,12,12,18,1,17,4,2,3,6,3,0,1,17,16,12,10,10,9,6,4,5,16,1,17,2
19,4,13,17,11,0,16,9,3,19,13,7,18,8,7,5,13,5,19,15,9,14,18,9,7,16,13,1,17,2,14,5,15,4,9,0,9,19,7,11,8,4,8,15,10,4,3,5,7,3
10,15,6,0,16,17,17,19,2,1,4,7,2,19,8,4,0,7,9,14,14,9,9,15,11,13,2,6,4,14,4,12,19,4,17,14,17,7,13,7,9,16,7,2,5,12,17,16,13,16
8,5,2,6,12,9,9,8,9,18,15,19,12,8,10,2,17,5,8,11,7,15,0,18,17,4,12,8,2,5,12,15,19,13,8,14,19,11,13,8,14,5,13,14,4,2,2,18,10,8
13,11,18,6,11,18,0,13,9,2,17,7,19,19,7,8,0,7,10,18,14,17,10,15,16,16,7,6,3,15,19,19,9,17,5,17,2,12,5,19,6,9,15,8,17,6,14,6,0,14
18,18,9,13,0,10,10,17,6,17,6,15,2,19,18,17,18,6,11,9,7,2,10,0,2,5,12,12,6,4,4,13,17,0,14,5,14,13,6,15,10,8,12,8,10,17,8,1,17,8
7,12,9,15,18,19,8,17,17,12,7,17,5,4,19,12,2,15,2,12,0,4,19,2,1,4,14,19,3,9,17,8,5,14,6,14,7,17,17,18,1,16,1,9,13,11,13,10,11,5
4,5,13,16,10,5,19,4,10,12,12,0,10,13,10,2,18,2,13,3,1,6,0,17,14,13,0,15,0,0,14,14,17,5,14,13,3,13,6,19,17,16,6,19,19,11,12,4,5,1
3,5,18,18,0,14,3,1,5,4,8,3,17,7,14,15,16,18,1,5,12,19,8,17,17,16,6,1,1,9,17,19,2,14,7,3,2,14,9,11,7,3,16,13,15,11,13,15,15,4
13,16,8,18,15,16,11,5,13,14,9,1,3,5,19,0,13,14,9,4,8,6,0,6,17,12,15,12,17,19,7,11,12,13,17,13,14,3,16,15,9,6,3,1,3,10,1,7,8,11
11,18,5,9,7,15,2,1,10,7,1,11,11,13,9,5,18,2,5,13,10,5,16,8,10,8,0,9,16,7,13,13,5,6,17,6,9,16,6,12,13,11,7,5,7,8,18,8,19,10
12,3,9,4,9,8,18,19,4,6,19,3,16,13,3,1,10,3,3,19,10,0,3,13,17,4,14,4,12,11,7,8,19,15,18,19,11,15,12,2,5,19,15,16,16,19,13,11,2,16
6,19,7,2,15,7,10,18,15,18,18,11,13,16,17,7,16,13,7,10,12,16,15,15,17,12,15,13,10,8,9,14,6,10,1,17,7,9,13,5,5,17,15,7,13,4,1,4,19,4
4,18,14,2,16,2,2,7,16,12,7,17,14,17,17,18,19,10,11,19,2,3,13,4,19,0,8,8,10,4,16,5,9,8,16,16,3,6,11,19,17,12,1,14,5,7,10,5,10,3
2,4,5,3,11,0,10,17,11,2,1,0,4,5,19,0,0,1,9,9,15,1,18,10,13,8,7,11,9,8,7,13,15,12,1,6,16,3,7,15,15,1,11,15,13,0,10,16,3,11
17,2,16,13,12,17,16,4,10,17,5,11,18,18,9,18,12,16,9,14,2,15,3,15,4,1,17,2,6,15,2,14,8,8,9,19,13,1,5,16,7,14,15,2,18,5,19,18,9,2
12,7,0,12,15,4,6,5,17,1,3,0,17,14,12,9,8,8,11,8,10,19,3,1,2,12,8,14,4,10,5,4,17,10,13,19,15,3,7,16,13,5,13,18,6,0,10,15,18,4
17,8,9,1,11,10,6,8,19,8,1,1,8,14,4,16,16,5,18,2,6,9,10,12,13,13,10,14,5,4,12,2,6,17,11,11,11,10,8,19,4,7,0,5,0,19,11,13,13,11
18,14,12,3,11,11,11,12,3,8,19,13,5,7,1,17,13,8,18,13,13,0,13,11,12,11,13,6,16,3,17,2,14,8,13,12,13,1,18,13,1,10,10,19,10,11,11,9,0,1
15,3,10,0,13,13,3,17,13,6,6,14,7,14,9,10,4,15,5,12,6,9,19,0,4,16,14,3,1,5,16,18,6,1,10,4,15,7,8,11,4,5,16,18,15,13,9,1,15,6
8,16,15,0,7,14,17,8,15,5,5,16,14,15,12,18,5,7,5,13,7,5,18,19,6,2,14,9,17,7,13,10,0,17,11,5,15,8,19,2,19,10,3,9,18,13,0,15,10,3
9,17,18,5,10,5,15,0,13,0,12,19,12,13,15,8,5,13,8,16,7,4,5,18,18,10,0,14,2,3,16,8,14,8,5,1,4,11,10,16,4,3,11,2,4,11,1,6,3,9
